500
38 93
-33 -85
59 -92
54 60
92 -28
-24 -85
46 -43
2 72
21 11
-47 22
26 64
22 75
-83 -69
53 5
26 -65
96 66
6 -67
14 -66
20 39
-100 22
-61 -60
-34 -30
67 -27
-56 98
-95 -63
21 96
96 92
39 -24
8 -21
28 -10
95 -41
-99 -51
10 73
43 -93
73 16
66 92
26 -86
12 -9
90 5
-27 -24
64 39
7 -72
94 -16
-95 -86
-79 95
-44 4
98 74
-58 -38
34 49
-57 -1
3 15
-82 50
57 -80
42 -47
-12 -57
37 62
37 -53
77 34
42 -23
71 -78
-68 -12
80 15
-31 -55
-55 -11
46 -6
33 60
54 11
-47 -38
-13 -42
93 -30
15 79
-69 97
-28 -41
10 96
-24 -64
-16 -74
33 19
83 63
-43 6
-62 58
14 -24
32 28
-36 -54
81 -43
9 45
74 35
-50 -39
-70 80
4 7
-25 -79
-39 48
29 -95
31 70
90 94
65 -25
-70 -36
81 -20
74 85
-27 52
-68 -50
-44 55
40 20
-98 60
-70 88
65 32
-57 -78
71 49
61 -1
-90 -53
7 -5
64 96
-27 17
-11 89
20 -22
-19 89
-62 -30
-60 7
27 -20
20 -24
17 65
-17 -40
-9 -74
69 6
-79 -90
81 24
57 -42
91 84
86 -30
99 87
-51 88
62 -9
36 63
60 -5
88 53
99 -24
-67 -59
-63 -20
-50 -50
-25 -99
12 39
-47 52
65 -74
14 60
51 -55
69 32
72 -87
-1 0
-57 -85
-88 74
18 14
74 25
-59 27
-1 -73
-22 32
24 79
80 5
-86 47
69 20
-25 -70
35 -26
-30 -19
96 61
-88 7
-82 46
46 -4
42 46
52 70
-88 63
-20 34
57 43
-72 57
18 51
47 -7
78 56
-83 -21
-77 35
-98 70
-52 15
80 3
87 -97
93 21
-72 -43
75 -62
-33 76
-64 -41
92 -43
99 17
-23 60
-49 85
26 -30
96 4
60 51
34 21
-5 37
14 84
-29 13
65 26
13 -27
32 -27
25 -8
-80 -47
-5 -56
75 35
62 19
47 65
42 -52
-25 33
-60 -30
5 79
-33 50
8 10
-80 45
-22 50
-15 26
-96 -58
-45 93
-50 29
-33 -65
61 32
-5 32
-7 -66
64 7
-8 48
24 -10
-46 31
-5 19
32 53
45 50
94 78
-25 -14
-44 26
-52 -48
30 8
-78 -4
79 -85
-34 -96
8 45
99 -21
-89 -69
-79 -93
59 49
-58 -68
-42 -38
-1 13
-49 62
-51 57
1 25
91 -68
58 -65
-99 -64
-18 -4
-84 -1
35 51
-71 30
61 19
77 -64
64 -10
-18 -6
-33 10
45 30
-42 1
60 82
-4 11
-12 -28
-14 37
18 16
1 39
-60 -62
6 21
-87 48
-54 81
37 45
-76 75
78 -53
-15 -21
-42 -74
-61 41
21 81
1 70
-39 -21
43 -44
-97 -10
36 46
-65 -57
-49 51
35 44
38 63
-78 -17
33 -34
99 54
56 24
-19 -10
29 -3
43 16
-48 -38
-14 -23
-49 -52
35 -36
51 -12
23 54
2 -85
92 80
60 -77
8 86
-83 -81
59 21
10 -32
-47 53
86 -99
15 92
72 -5
-62 36
85 48
-83 5
65 94
-86 48
-77 -86
52 78
-48 78
86 -21
-34 28
-68 17
16 80
86 73
21 -7
92 -42
-73 80
2 -100
44 -44
-1 60
45 99
-70 -65
36 -75
-25 -8
81 92
5 -84
-26 37
-66 -21
47 -83
9 -25
-71 -28
-32 95
1 59
-54 26
-28 -12
51 -87
-21 -75
90 86
-90 83
97 -86
34 -43
-3 -29
-30 -7
-30 -20
-98 32
-72 -37
-79 -50
-25 -12
46 89
-87 -89
84 -68
-81 -13
-8 -82
-57 42
67 -85
40 -82
38 80
-68 33
-28 -51
88 -40
-20 87
-62 93
55 -83
-5 44
-51 3
45 65
-16 11
-43 -8
-19 -40
61 -75
-56 -75
-38 79
70 -38
82 -34
-27 -67
22 20
17 -2
-79 -29
21 14
-20 -77
-73 -61
-68 -37
-78 -5
-80 -7
-90 -71
28 85
-47 25
0 11
-28 32
86 23
-33 54
17 -65
60 -57
44 23
78 -45
17 -80
-43 -51
35 -92
67 94
-80 11
-18 -68
-70 -11
81 -71
30 60
-43 -34
27 58
-94 -65
-87 -18
-99 5
-35 -30
39 15
72 -85
67 -90
-8 19
-67 -13
54 -23
-33 17
74 -63
-80 28
11 21
-90 -39
17 71
42 9
-36 81
-7 -26
17 -25
-97 40
-75 97
-73 -66
-43 12
-8 18
-34 -26
31 28
56 68
-82 -41
-83 34
-35 16
-80 -38
58 -9
-56 85
77 45
-23 31
8 49
-29 -3
26 -97
-42 70
15 -89
-16 -58
-20 -34
37 -13
78 98
-92 24
-58 -78
35 -53
13 -38
-47 61
-32 -14
11 15
67 3
-93 -83
15 49
-1 -62
53 68
-13 70
0 71
-55 80
-64 -68
-11 -16
-48 -30
80 77
-56 -7
-54 -41
48 -75
-83 -49
39 -67
67 -30
-85 2
15 -75
-93 47
-16 83
-81 21
97 -47
88 -9
9 -35
-38 -83
-25 -82
-56 -82
95 21
-45 82
15 67
